base_id,input_url,base,found,resolved_url,resolved_ext,detected_kind,content_type,http_status,note
EFTA00033029,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033029.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033029,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033029.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033030,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033030.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033030,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033030.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033031,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033031.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033031,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033031.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033032,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033032.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033032,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033032.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033033,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033033.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033033,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033033.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033034,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033034.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033034,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033034.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033035,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033035.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033035,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033035.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033036,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033036.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033036,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033036.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033037,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033037.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033037,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033037.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033038,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033038.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033038,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033038.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033039,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033039.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033039,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033039.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033041,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033041.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033041,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033041.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033043,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033043.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033043,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033043.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033044,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033044.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033044,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033044.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033046,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033046.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033046,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033046.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033047,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033047.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033047,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033047.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033048,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033048.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033048,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033048.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033049,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033049.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033049,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033049.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033052,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033052.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033052,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033052.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033053,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033053.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033053,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033053.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033054,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033054.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033054,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033054.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033055,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033055.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033055,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033055.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033057,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033057.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033057,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033057.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033059,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033059.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033059,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033059.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
EFTA00033060,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033060.pdf,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033060,True,https://www.justice.gov/epstein/files/DataSet%208/EFTA00033060.mp4,mp4,video_or_audio,video/mp4,206,ok via .mp4
